algorithm,input,n,comparisons,time_ms,max_depth
MergeSort,random,1000,9468,0.0873,8
QuickSort,random,1000,18296,0.8772,6
QuickSelect,random,1000,6465,0.1914,12
MergeSort,sorted,1000,4236,0.0458,8
QuickSort,sorted,1000,19735,0.0689,6
QuickSelect,sorted,1000,4422,0.1269,9
MergeSort,duplicates,1000,9228,0.0855,8
QuickSort,duplicates,1000,5292,0.0212,2
QuickSelect,duplicates,1000,3721,0.1094,5
MergeSort,random,10000,127085,1.1049,11
QuickSort,random,10000,241454,1.177,8
QuickSelect,random,10000,49095,0.2215,16
MergeSort,sorted,10000,59248,0.4036,11
QuickSort,sorted,10000,255917,0.4004,8
QuickSelect,sorted,10000,53986,0.1095,16
MergeSort,duplicates,10000,121116,1.6327,11
QuickSort,duplicates,10000,56303,0.1328,2
QuickSelect,duplicates,10000,39821,0.0806,4
MergeSort,random,100000,1639956,6.5076,14
QuickSort,random,100000,3073738,8.6912,11
QuickSelect,random,100000,473357,0.98,27
MergeSort,sorted,100000,744016,1.7285,14
QuickSort,sorted,100000,3017572,4.5369,11
QuickSelect,sorted,100000,538557,0.248,16
MergeSort,duplicates,100000,1562014,3.4775,14
QuickSort,duplicates,100000,528632,1.3494,2
QuickSelect,duplicates,100000,379194,0.8241,5
MergeSort,random,1000000,19886848,80.3876,18
QuickSort,random,1000000,40508410,99.7704,12
QuickSelect,random,1000000,6623965,10.3216,34
MergeSort,sorted,1000000,9071040,20.4925,18
QuickSort,sorted,1000000,37444262,53.5314,13
QuickSelect,sorted,1000000,5242803,2.5694,27
MergeSort,duplicates,1000000,18925856,38.3925,18
QuickSort,duplicates,1000000,6999775,12.4753,2
QuickSelect,duplicates,1000000,3601632,8.5059,4
